,,如果不清楚如何幫忙對校，請參考 https://hackpad.com/3du.tw-UnicodeCNS-Map-uGgOPAFgxDM 上面的說明。只有藍底或黃底的欄位才需要手動輸入。,,,,,,,,,,,,,,,,
,,通同字,,,,,,,,,考證（注意不要手動輸入 Unicode 相容表意字）,,,,,,,
造字碼,原圖,疑,正,通,"Uni
組字碼","Big5
(自動)","TSource
(自動)",CNS,"Uni
(自動)","glyph
wiki","CNS
(請輸入)","Unicode
(自動)","Unicode
(手動)","Unicode
(等效)",原圖,CNS,"glyph
wiki",註解
8e42,,,否,覼,,Thinking...,Thinking...,Thinking...,U+89BC,,3-5E61,Thinking...,,,,,,
8e49,,,否,畧,,Thinking...,Thinking...,Thinking...,U+7567,,3-3749,Thinking...,,,,,,
8e4e,,,否,玍,,Thinking...,Thinking...,Thinking...,U+738D,,3-216B,Thinking...,,,,,,
8e50,,,否,槅,,Thinking...,Thinking...,Thinking...,U+69C5,,3-473B,Thinking...,,,,,,
8e51,,,否,裓,,Thinking...,Thinking...,Thinking...,U+88D3,,4-4061,Thinking...,,,,,,衣戒
8e52,,,否,个,,Thinking...,Thinking...,Thinking...,U+4E2A,,3-212C,Thinking...,,,,,,上人下｜
8e55,,,否,匄,,Thinking...,Thinking...,Thinking...,U+5304,,3-2222,Thinking...,,,,,,
8e58,,,否,皐,,Thinking...,Thinking...,Thinking...,U+7690,,3-374D,Thinking...,,,,,,
8e59,,,否,槹,,Thinking...,Thinking...,Thinking...,U+69F9,,3-4C5F,Thinking...,,,,,,左木右皐
8e5a,,,否,𢬵,,Thinking...,Thinking...,Thinking...,U+22B35,,4-2957,Thinking...,,,,,,  拚-厶+ㄊ
8e5c,,,否,篼,,Thinking...,Thinking...,Thinking...,U+7BFC,,3-556E,Thinking...,,,,,,
8e5d,,,否,謌,,Thinking...,Thinking...,Thinking...,U+8B0C,,3-564A,Thinking...,,,,,,
8e60,,,否,槩,,Thinking...,Thinking...,Thinking...,U+69E9,,3-4C64,Thinking...,,,,,,
8e65,,,否,㹠,,Thinking...,Thinking...,Thinking...,U+3E60,,3-266C,Thinking...,,,,,,犬旁+屯
8e67,,,否,瓓,,Thinking...,Thinking...,Thinking...,U+74D3,,3-5E3D,Thinking...,,,,,,
8e6c,,,否,駞,,Thinking...,Thinking...,Thinking...,U+99DE,,3-4F72,Thinking...,,,,,,
8e70,,,否,槖,,Thinking...,Thinking...,Thinking...,U+69D6,,3-4744,Thinking...,,,,,,從上至下：士ㄇ石木
8e73,,,否,䟐,,Thinking...,Thinking...,Thinking...,U+47D0,,4-6B23,Thinking...,,,,,,{走歷}
8e74,,,是,𤱻,,Thinking...,(略),(同),U+24C7B,(同),10-6373,Thinking...,U+24C7B,U+24C7B,,,,{田U+268DE}
8e75,,,否,綉,,Thinking...,Thinking...,Thinking...,U+7D89,,3-4369,Thinking...,,,,,,{糸秀}
8e78,,,否,鸜,,Thinking...,Thinking...,Thinking...,U+9E1C,,3-6238,Thinking...,,,,,,
